NAME,FORENAME,OCCPN/STATUS,PLACE,TYPE,YEAR,FOLIO,REGISTER
ABRAHAM,Anthony,yeoman,Bridgetowne Pomeroy,,1620,75,Soame
ACLAND,"Hugh, esquire",,"Acland, co Devon",,1622,69,Savile
ACLAND,John,husbandman,Bishops Nymoth,,1625,52,Clarke
ACLAND/ACKLAND,"Sir John, knight",,Colomp John,,1620,76,Soame
,,,Columbjohn,,,,
ADAMS,John,merchant,Totnes,,1623,28,Swann
ADDAM,William,sailor,Paignton,,1627,2,Skynner
ADDAMS,Thomas,weaver,Great Torrington,,1628,110,Barrington
ADDECOTT,Agnes,,Bampton,,1622,21,Savile
AISHLEY,"Alice, widow",,Ashburton,,1627,36,Skynner
ALLYNE,James,,Swimbridge,,1622,5,Savile
ALSOP,John,,"St Davids, City of Exeter",nuncuptative,1622,24,Savile
ALSOP,John,,Exeter,sentence,1624,95,Byrde
AMERY,Henry,mariner,Abbotisham,,1624,13,Byrde
AMERY,Robert,,Southmolton,,1626,119,Hele
AMIE,Edward,merchant,Tiverton,,1621,6,Dale
AMORY,William,,Swaynbridge [Swimbridge],,1625,19,Clarke
AMYE,Thomas,,Exeter,nuncupative,1622,41,Savile
ANDREWE als MORRIS,John,,Plymouth,sentence,1620,108,Soame
ANDROW,William,shipwright,Plymstock,,1624,44,Byrde
ANNYNGE,John,,Kilmington,,1620,114,Soame
ARDREN,"Agnes, widow",,Westeingmouth,,1628,1,Barrington
ARDREW,Jolin,yeoman,Westingmouth,,1624,69,Byrde
AVERIE,"Elizabeth, widow",,Bronton [Braunton],,1629,42,Ridley
AVERIE,Richard,,Powderham,,1620,11,Soame
AVERIE,Thomas the elder,husbandman,Bran[u]ton,,1628,15,Barrington
AVERY,Robert,,Dowland,,1628,47,Barrington
AYRE,"John, gent",,Atherington,,1629,41,Ridley
,(Cal. has Richard),,,,,,
BABB,"Mary, widow",,Totnes,,1623,45,Swann
BABEDGE,George,clothier,Collumpton,,1628,76,Barrington
BAGG,"James, gent",,Plymouth,,1625,32,Clarke
BAGG,Thomas,,"Chardstock, Dor.",,1626,20,Hele
BAKER,Christopher,clothier,Culmestock,,1627,1,Skynner
BAKER,Humfry,clothier,Culmestock,,1626,18,Hele
BAKER,Robert,weaver,Uffculme,,1621,50,Dale
BALL,"Alice, wid.ow",,Bampton,,1625,52,Clarke
BALL,John,sailor,Kingswear,,1620,106,Soame
BAMPFIELDE,"Sir Amyas, knight",,Poltimore,,1626,40,Hele
BANBURY,Hugh,,Heaton Punchardon,,1620,45,Soame
BARBER,Richard,retayler,Totnes,,1628,32,Barrington
BARON,"James, bachelor",,Plymouth,,1626,136,Hele
BARONS,Bonnaventure,mariner,Cockington,,1623,49,Swann
BARTLETT,Ellis,,Braunscombe,,1623,123,Swann
BARTLETT,"John, gent",,Exeter,,1628,99,Barrington
BASELEY,Thomas,baker,"Dallwood, Dor",,1629,69,Ridley
BASTONE,Robert,,Salcombe,,1620,114,Soame
BATSWELL or BATCHELL,George,,Plymouth,,1621,18,Dale
BATTYN,"Nicholas, gent",,Nethere [Nether Exe],,1627,57,Skynner
BAWDON,John (not in Cal.),,Minister of Chudleigh,,1629,41,Ridley
BEAUMONT,Joan wife of,,,,,,
,Gledd BEAUMONT,,of Gittesham,,1627,63,Skynner
BEARE,Roger,merchant,Barnstaple,,1623,13,Swann
BEARE,Thomasin,,Broad Clist,,1627,62,Skynner
BELMAINE,"Robert, esquire",,Dallamore in Cornwood,,1627,77,Skynner
BELLAMYE,William,,"Westhope, par of Didlebury, Salop",,1625,69,Clarke
,,,"(PAB says Axminster, Devon)",,,,
BENNETT,John,marryner,Dartmouth,,1625,68,Clarke
BENNET als KIGWINE,Walter,mariner,Plymouth,,1623,92,Swann
BENTLY,John,merchant,Exeter,,1621,63,Dale
BERINGTON,"Humfrey, gent",,Idford,,1622,54,Savile
BERRY,"Elizabeth, widow",,Tiverton,,1623,113,Swann
BERRY,John,clothier,Tiverton,,1623,57,Swann
BERRY,John,yeoman,Swimbridge,,1623,82,Swann
BERRY,John,,South Molton,,1625,52,Clarke
BERRYE,Anthony,,Westbuckland,,1626,87,Hele
BICKFORD,Alice,,Combyntinhead,,1623,114,Swann
BICKFORD,John,wollen weaver,Coffinswell,,1628,110,Barrington
BICKHAM,Thomas,sailor,"Orston, par of Plymstock",,1624,103,Byrde
BINDFORD,John,yeoman,Willand,,1629,10,Ridley
BIRCH see BYRCH,,,,,,,
BIRDALL,John the elder,,St Thomas [Exeter],,1625,37,Clarke
BISHOP,Mary. widow,,Uffculme,,1629,92,Ridley
BISHOPP,Christopher,yeoman,Buckerell,,1621,43,Dale
BISHOPP,Roger,weaver,Uffculmbe,,1621,26,Dale
BLACKALL,Jane,,"St Thomas Apostle, Exeter",,1620,18,Soame
BLACKALL,"Richard, esquire",,Totnes,,1622,41,Savile
BLACKLER,Peter,sealor,Brixham,,1626,92,Hele
,son-in-law of Mathew,,,,,,
,BECKFORD of same parish,,,,,,
BLACKSTON,Peter,,Westingmouth,,1626,11,Hele
BLAKE,Peter,yeoman,Maker,,1625,2,Clarke
BLIGH,William,merchant,Plymouth,,1628,54,Barrington
BLUETT,"Francis, gent",,Holcombe Rogus,,1626,133,Hele
BOND,Christopher,,Yarcombe,,1627,103,Skynner
BONKERD,"Elizabeth, widow",,Stokegabriel,,1627,87,Skynner
BOROWE,"Elizabeth, widow",,Broadclyst,,1622,67,Savile
BOUND,Geoffrey,yeoman,Little Hemston,,1623,88,Swann
BOUND/BOWND,Peter,yeoman,Torbryan,,1623,50,Swann
BOUND,Peter,,Torbrian,Sentence,1627,56,Skynner
BOWDEN,Walter,baker,Axminster,,1629,83,Ridley
BOWDIEDGE,Stephen,yeoman,"Hawkchurch, Dor",,1620,98,Soame
BRAINE,Robert,,Exmouth,,1628,85,Barrington
BRAUND,George,,Highampton,,1629,69,Ridley
BRAUNDE,Edward,mariner,Dartmouth,,1622,23,Savile
,,,(PAB says Plymouth),,,,
BRAWNE,Richard,yeoman,Hatherley,,1621,15,Dale
BRENDON,Richard the elder,merchant,Plymouth,,1628,98,Barrington
BREWEN or BREWER,"John, gentleman",,Tavistock,,1624,96,Byrde
BRIDGEMAN,"Honoria, widow",,Huntsham,,1625,50,Clarke
BRIMSCOMBE,John,glover,Plymouth,,1621,109,Dale
BRODMEADE,Bennet,yeoman,Crediton,,1627,60,Skynner
BROADMEADE,Benedict,,Crediton,Sentence,1628,94,Barrington
BROCKDON,Thomas,merchant,Plymouth,,1626,33,Hele
BROCKE,John,fuller,Crediton,,1627,105,Skynner
BROCKE,Richard,yeoman,Clist Honiton,,1627,16,Skynner
BROKINGE,Christopher the elder,merchant,Totnes,,1627,94,Skynner
BROKINGE,Richard,merchant,Totnes,,1623,99,Swann
BROOKE als BUTSON,Anthony,yeoman,Ufcolme,,1624,106,Byrde
BROWNE,Denis,yeoman,Newton St Sires,,1620,22,Soame
BROWNING,"Matilda, widow",,Yartcombe [?Yarcombe],,1626,9,Hele
BUCKLAND,Robert,clerk,Clist St George,,1626,9,Hele
BUDD,John,yeoman,Landkey,,1623,77,Swann
BUDGILL,Giles,carrier,Torrington,,1629,3,Ridley
BULLEN,Edward,barber,Tavistock,,1627,116,Skynner
BULLIED,John the elder,yeoman,Marnisleigh,,1629,10,Ridley
BURGES,John the elder,,of Westley (Burlescombe) (now,,1628,45,Barrington
,,,"in Richmans Iland, New England)",,,,
BURGOYNE,"William, gent",,South Tawton,,1624,13,Byrde
BURNISH,Isaack,,"born in Ipswich,co Suffolk",,1628,21,Barrington
,,,now in the water of,,,,
,,,"Hammose, Devonshire",,,,
