NAME,FORENAME,OCCPN/STATUS,PLACE,TYPE,YEAR,FOLIO,REGISTER
ABBAT,"William, esquier",,Hartland,,1609,68,Dorset
ABBOT,Christopher,husbandman,Armington (Ermington),,1610,108,Wingfield
,,,"Cornwood, Harford",,,,
ABBOT,William,,Hartland,Sentence,1610,50,Wingfield
ABRAHAM,James,yeoman,Staverton,,1612,94,Fenner
ACHIM,"Thomas, esquier",,"Hall, Peluit, Bodmun, Tallond, Cornwall:",,1618,25,Parker
,,,"St Giles in Heath, Devon",2nd Grant,,2,Sept 1622
,,,,3rd Grant,,8,May 1635
ADAMS,John,sayler,"East Allington, Marlborough",,1616,8,Weldon
,,,Newfoundland (where died),,,,
ADAMS,Nicholas,merchanute,"Dartmouth, Totnes",,1605,42,Hayes
AISHFORDE,"Roger, esquire",,"Aishford, Devon; Wollavington &",,1611,78,Wood
,,,"Curland Mannors, Somerset",,,,
ALWARD,John,husbandman,"Stokentynhed, Plymouth",,1611,65,Wood
ALLWARD,William,,"Gabwell, Stokentenhed, Rocombe",,1613,110,Capell
,sonne John ALLWOOD,,,,,,
AMERIDITH,"Thomas, esquier",,"Chidleigh, Beckleigh[Chudleigh]; Slapton",,1617,59,Welson
AMORIE,"John, gent",,Bishop Nimett; North Molton; Tiverton,,1614,12,Rudd
,,,Luccomb; Asholte; Knowlston,,,,
ANDREWE,John,,"""having received a deadlie wound with",nuncupative,1612,33,Fenner
als MORRIS,,,a pyke in his necke in a fight with a,,,,
,,,pirat at Sea in a Shipp called the,,,,
,,,"""Virgin of Plymouth"" (PA Plymouth)",,,,
,,,(Decree of nullity & grant of Admin,,,,
,,,as Intestate Nov 1620),,,,
ANDROWE,"Christopher, gentleman",,"Stokeintinhead, journeying abroad",,1609,119,Dorset
ANDROWE,"John, gentleman",,"Bredyford [Bideford], Northam",,1606,10,Stafford
ARNELL,Christopher,,Stokentinhed,,1609,107,Dorset
ARSCOTT,"Arthur, gent",,"Tetcott, Lamerton, St Giles in Heath",,1618,39,Meade
ARSCOTT,"George, gentleman",,"Langtree, Marland, Petersmarland,",,,,
,,,"Thornebury, Bradford, Gamyngton als",,,,
,,,"Gammynton, Buckland parish",will & sentence,1613,54,Capell
,,,,2nd Grant,,26,March 1614
ARSCOTT,"Humfry, esquire",,"Trevisker, parish St Vuell. Cornwall",with sentence,1605,50,Hayes
,,,Boltreaux Castle; Beckington (Fremington),2nd grant,,6,Feb. 1609
ATKINS,"Johane, widowe",,Colompton,,1618,111,Meade
ATKYNS,"Henry, gent",,Colompton,nuncupative,1613,45,Capell
ATKYNSON,George,maryner,Plymouth,,1614,94,Lawe
ATWILL,"John the elder, gent",,Mamhead,,1617,39,Weldon
,,,,2nd grant,,2,May 1657
AVERYE,Thomas,shipowner,Kenton,,1619,95,Parker
AWFORD,Andrewe,sayler,"Dawlsih, East Tymouth, Weamouth, Dor",,1612,81,Fenner
,,,in voyage homeward from Newfoundland,,,,
AYRES,John,merchant,"Bramestaple, Lynton, Devon &",,1614,87,Lawe
,,,"Dewstone, Cornwall",,,,
AYSSHE,"William, gent",,"Stockley Pyorton, Sandford in Crediton,",,1615,12,Cope
,,,"Morton, Notts",2nd grant,,16,Jan 1631
BABACON,John,mariner at sea,Tavistock (PA),,1609,106,Dorset
BABB,Thomas,yeoman,Courte place in Yartecombe [Yarcombe],,1611,102,Wood
BABBINGTON,Urye,,"citizen & draper St Stephens,Coleman St.,",,1606,23,Stafforde
,,,London [many places incldg:],,,,
,,,"Stone, par Abbotsham, Westcot, Sidmouth,",,,,
,,,Knighton (Bovey Tracey),,,,
BABELL,Roger,mariner,Kingsbridge,,1614,69,Lawe
BADCOCKE,Silvester,clerk,"Hawkeridge, Withipoll, Luscombe, Som.;",,1607,81,Hudleston
,,,"Collompton, Devon",,,,
BAGTER,Charles,yeoman,Cullompton; Exeter Citie,,1615,41,Rudd
BAGTOR,Henry,yeoman,Halberton,,1612,79,Fenner
BAGWELL,"Protestie, widow",,"Brodgetowne Pomry, Tottnes",,1612,8,Capell
BAGWILL,"Agnes, widow",,St Peters in Exeter City; St Stephens,,1613,4,Lawe
,,,"St Sidwell, Bradnich & Somerset",,,,
BAGWILL,Roger,ropemaker,"Brodgtown Pomry, Totnes",,1612,93,Fenner
BAKER,Daniel,yeoman,"St George, Citie of Exeter",,1615,11,Cope
BAKER,Thomas,husbandman,Church Taunton,,1606,94,Stafforde
BALL,"Joan, widow",,"Bridgland, Chudleigh",,1617,66,Weldon
BALL,"John, gent",,Collompton,,1608,69,Windebanck
,,,,sentence,1619,44,Parker
BALL,John,yeoman,Kinges Carswell [Kingskerswell],,1612,16,Fenner
BALL,Robert,merchant,Cockington,,1617,27,Weldon
BALL,William,merchant,Tormohame,,1615,23,Rudd
BALLAMYE,William,taylor,Crediton,,1613,2,Capell
BARFOOTE,Henry,,"citizen & Mmarchant Taylor, St Dunstans",,,,
,,,"in East, London; Yorkcombe (where born)",,1609,67,Dorset
,,,"Devon [?Yarcombe]; St Thomas, Exeter",,,,
BARKHAM,Thomas,,"citizen & mercer of London,",,1617,89,Weldon
,,,"resident in Hambrough, Alteno (i.e. Altona",,,,
,,,nr Hamburg) (PAB over the seas),,,,
BARNARD,"Thomas, gent",,Sidbury,,1618,103,Meade
BARON,"Edward, gent",,"Stokeinhed, Mareldon, Exeter Cittie",,1612,8,Fenner
,,,,Sentence,1614,17,Lawe
BARRON,John,late maisters mate,"of the ""Susan""; now of Thascencion",,1606,42,Stafforde
,,,Dartmouth (PAB died overseas),,,,
