NAME,FORENAME,OCCPN/STATUS,PLACE,TYPE/NOTE,YEAR,FOLIO
ABBOT,David,yeo,Combrawley,,1693,202
AKERMAN [Akarman],"Stephen,",esq,Plymouth,,1693,134
,,,"(d. All Hallows, Barking, London)",,,
ALFORD,John,mar,"Cheddock, Dorset",,1687,57
,,,"(d. Plymouth, Devon)",,,
ALFORD,Melchisedeck,clerk,Ottery St Mary,,1689,118
ALGER,John,chirurgeon,Plymouth,,1690,84
,,,"(ship ""Ruby"" - at sea",,,
ALLEN,John,mar,Barnstable,,1693,91
,,,"(d. in H.M.S. ""Oxford"")",,,
AMERY,Abraham,mar,St Mary Outery,,1686,91
,,,(d. overseas0,,,
,,,[Ottery St Mary],,,
AMORY,Henry,mar,Bitheford (Bideford),,1688,74
ANDREW,"Prudence,",wid.,Plymouth,,1692,31
AVERAY,"Robert,",gent.,Mill in Witheridge,,1688,131
AVEREY,Robert,merchant,Great Torrington,,1688,131
AXFORD,Miles,mar,Dartmouth,,1689,148
A(Y)SHFORD,"John,",esq,"Ayshford, Buckscombe",,1691,76
,,,[Burlescombe],,,
BAKER,"Eleanor,",spr,Culmestock,,1691,77
BAKER,"Thomas, senr.",clerk,Bishop's Nympton,,1690,84
BAKER,"Valentine,","bach, mar",Coffons Mill [Coffinswell],,1693,178
,,,"(H.M.S. ""Mary"")",,,
BALLE,"William,",esq,Mamhead,,1691,232
,,,"(late of precincts of Whitefriars, Lond.)",,,
BARKER,John,merchant,Plymouth,,1690,65
BARNES,Gabriel,,Honyton,,1686,33
,,,,will registered 39 Bath (1680),,
BARNES,"Joanne,",wid.,Honyton,,1686,28
BARONS,"Jonathan,","bach, mar",Exeter,,1691,35
,,,"(H.M.S. ""Harwich"")",,,
BARTER,John,mar,"St Mary, Igenswell",,1692,218
,,,"(H.M.S. ""Mary"" at Barbadoes)",,,
,,,[Vol 77 has this as Kingskerswell but ?shld be Edginswell],,,
BARTLETT,Tristram,,city of Exeter (nuncup),,1687,73
BASSETT,"John,",esq.,Heaton Punchardon,,1687,1
BASTARD,"Mary,",wid.,city of Exeter,,1686,70
BATTER,John,mar,"Billiford, nr Barnstaple",,1691,3
,,,"H.M.S. ""Lenox""",,,
,,,[Bideford],,,
BATTERSBY,"Nicholas,",vicar,Chudleigh,,1689,119
,,,,(P.A.B. 1691 Fo 108),,
BEERE,George,innkeeper,Axminster,,1692,99
BENNETT,"Margaret,",wid.,Honiton,,1692,148
BENNEY,Pasky,mar,Plymouth,,1687,46
,,,"(H.M.S. rowing frigat ""James"";d. at sea)",,,
BETTYE,"Joseph,","bach, mar",town of Plymouth,,1690,147
,,,"(ship ""Sarah""; at sea or overseas)",,,
BIDGOOD,"Humphrey,","gent., bach",Tiverton,,1689,75
,,,d. Cambridge,,,
BIDGOOD,"Humphrey,",esq.,Rockbeare,,1601,203
BIDGOOD,John,M.D. Fellow of King's College of Physicians,,,,
,,,city of Exeter,,1691,44
BIRCH,"Isaac,",gent,city of Exeter,,1693,61
BLACKMORE,"Grace,",spr,Diptford,,1690,166
,,,,Sentence,1690,169
BLANCHARD,James,mar,Stonehouse,,1693,91
,,,"(H.M.S. ""Mary""",,,
BLINCH,Phillip,yeo,Buckland Brewer,,1687,133
BLUNDELL,"John,",gent.,Tiverton,,1687,18
BLUNDELL,John,,Tiverton,,1690,28
,,,,will registered 10 Harvey (1639),,
BLUNDELL,Peter,,Tiverton,,1690,28
,,,,will registered 77 Lee (1638),,
BLYTH see GLY,,,,,,
BOARD,"Mary,",spr,Bideford,,1693,21
BOGAN,"William,",armiger,Gatcombe,,1688,155
,,,,will registered 16 North (1681),,
,,,[Little Hempston],,,
BONE,John,brewer,Plymouth,,1692,99
BONN,John,mar,Bideford,,1692,16
,,,"(H.M.S. ""Expedition"")",,,
BOONE,John,,Mount Boone,,1689,177
,,,[Dartmouth],,,
,,,,will registered 146 Drax (1683),,
BOONE,Thomas,,Mount Boone,,1689,177
,,,[Dartmouth],,,
,,,,will registered 71 Bath (1680),,
BOUND,Sampson,yeo,Aishburton,,1689,150
BOUTET(Bontel),"Samuel, senr.",merchant,Plymouth,,1693,91
BOVETT,"Mary,",spr,Yarcombe,,1686,75
BOWDITCH,"Henry,",gent,"Chardstock, Dorset",,1688,29
BOWDITCH,Robert,,"West Hay,",,1690,166
,,,"Hawkchurch, Dorset",,,
,,,,Sentence,1690,169
BOYLAND,John,fuller,city of Exeter,,1690,54
BRAGG,"Matthew,",gent.,"Chaffeigh, Thorncombe",,1691,96
BRIGHOUSE,"Michael,",Esq.,Kentisbury,,1688,12
,,,"(d. St Clement Danes, Mdx)",,,
BRODRIDGE,Henry,merchant,Plymouth,,1690,17
BROOKE,"John,",gent.,Morebath,,1689,109
BROOKE,"John, senr",fuller,Barnstaple,,1690,134
BROUARD,"Abraham,",bach,Dartmouth,,1690,38
,,,"(H.M.S. ""Suffolk"")",,,
BROWNE,William,,Plymouth,,1687,112
,,,,(P.A.B. 1691 fo 111),,
BRUTTON,William,,Bideford,,1692,148
,,,(Barbadoes),,,
BUCK,Hartwell,merchant,Bideford,.,1691,204
BURGOYNE,"Robert,",gent.,Braunton,,1688,55
BURNARD,"Benedicta,",wid.,"Gittisham, Colliton",,1692,99
BURNARD,"John,",gent.,Coliton,,1686,28
,,,[Colyton],,,
BUSSELL,George,sergeweaver,"St Sydwell, Exeter",,1692,79
BYNE,"Martha,",wid.,Clawton,,1688,28
CALFE,Charles,soldier,"Boconnock, Corn. (nuncup)",,1688,12
,,,,Sentence,1687,171
,,,"H.M. Cidadel, Plymouth, Devon",,,
CAMMELL,William,mar,"H.M.S. ""Rupert""",,1693,205
,,,"d. Dartmouth, Devon",,,
CAPURNE,Richard,,Tiverton,,1690,171
,,,,will registered 83 Barrington (1628),,
CAREW,Thomas,esq.,Rifton,,1686,103
,,,,will registered 15 Juxon (1663),,
,,,"[Riston, Stoodleigh near Tiverton]",,,
CARKETT,"Nicholas, senr.",merchant,Plimouth,,1690,103
CARLETON,Thomas,mar,"ship ""Concord"" of Yarmouth",1691,78,
,,,bound to Venice,,,
,,,"Plymouth; d. in H.M.S. ""St Albans""",,,
CARUTHERS,James,chapman,Exeter,,1693,137
CHANT,"Richard, senr.",mar,Plymouth,,1687,75
CHAPPELL,John,malster,Topsham,,1693,4
CHATTY,Robert,,Tiverton,,1687,167
,,,,will registered 15 King (1679),,
CHAVE (Chane in O.W.),William,,Hockworthy,,1686,29
CHICHESTER,Dorothy,,"(Lond. Tawton Episcopi, Devon)",,,
,,,,,1692,101
,,,[Bishop's Tawton],,,
CHUBB,Robert,tanner,Church Panton,,1693,107
,,,[Churchstanton],,,
CLAPP,Benjamin,"haberdasher of hatts,",Plymouth,,1690,86
CLARE,John,mar,Topsham,,1688,148
,,,"(ship ""Beaufort"" bound for E.Indies;",,,
,,,d. at sea),,,
CLUTTERBUCK,James,woolman,city of Exeter,,1690,121
COLE,Emanuel,mar,Dartmouth,,1690,87
,,,"H.M.S. ""Henrietta""",,,
COLE,"Stephen Simmons,",husb,"St Thomas, Exeter",,1689,122
,,,[St Thomas the Apostle],,,
COLES,John,cheesemonger,city of Exeter,,1693,153
,,,d. overseas,,,
COLLIBER,John,silkweaver,city of Exeter,,1688,57
COLLINS,"Joane,",wid.,Ottery St Mary,,1689,59
CONNINGHAM,Charles,apothecary,city of Exeter,,1686,40
CONYBEARE,Thomas,mar,Bytheford [Bideford],,1693,22
COOKE,"Elizabeth,",wid.,Buckland Bruer,,1693,106
COOKE,Francis,mar,Plymouth,,1690,18
,,,"(H.M.S. ""Hampton Court"")",,,
COOKE,"John, bach",mar,Gadbury,,1689,153
,,,"(H.M.S. ""Deptford"")",,,
,,,[Cadbury],,,
COOKE,Thomas,mar,"Yalne, Devon",,1691,65
,,,"(H.M.S. ""London"")",,,
CORDWENT,John,yeo,Churchstanton,,1687,101
CORNELIUS,Alexander,yeo,"Dalwood, Dorset",,1693,153
COSTIN see SAMFORD,,,,,,
COTTON,Richard,"naval commander, H.M.S. ""Diamond"",",Plymouth,,,
