NAME,FORENAME,OCCPN/STATUS,PLACE,TYPE,YEAR,FOLIO,REGISTER
ADDINGTON,Christopher,,"Beddiford, Devon &",,,,
,,,City of London,,1555,F.32,More
AISSHFORD,William,Cl(er)k,Fenyton,,1502,22,Blamyr
ALDRYNGTON,Richard,Cl(er)k,Canon of Exeter; Aldrington (?Sussex),,1429,12,Luffenham
AMADAS,John,,"Tavistock, Devon; Cornwall",,,,
AMEREDETH,Griffith,,"St Peter, Exeter",,1558,70,Noodes
ANDROW,Matthew,,Topsham,,1487,4,Milles
ANDREWE,John,the elder,Honyton,,1505,40,Holgrave
ANDREWE,Thomas,,"St Mary Arches, Exeter",,1517,30,Holder
,,,,codicil,1529,14,Jankyn
ANDREWE,William,,Bury Pomeray,,1512,25,Feliplace
ANDRO (?ANDREWES),John,the elder,Gt Torryngton,,1545,2,Alen
ANGER,John,,Dyttisham,,1512,8,Feliplace
ANTONYE,John,,Dartemowthe - at sea,,1552,F.22,Powell
ApJANKYNE,Ja(me)s,,"Sampford Peverell; Crist Church, London;",,1529,8,Jankyn
,,,Stondlok,,,,
,,,(?Oxford),,,,
ApPRYCE,John,,Tyverton,,1558,71,Noodes
ARCHER,John,,diocese of Exeter;,,1493,29,?Doggett
,,,"Alfryston, Sussex",,,,
ARSCOTTE,John,gent,"Tetcote, Devon; Cornwall;",,1557,F.2,Noodes
,,,"Chauncery Lane, London",,,,
ARUNDELL,John,,"Bishop of Exeter; St Clement Danes, London",,1504,14,Holgrave
ARUNDELL,Sir Thomas,knt,Devon;Cornwall;Gloucester,,1489,29,Milles
ASCOIGH,Robert,clerk,Archdeacon & Canon of Exeter,,1482,6,Logge
ASSHETON,Edward,,Bow alias Nymet Tracy;,,1537,13,Dyngeley
,,,"Wolkomstede, Surrey",,,,
ATKYNSON,Thomas,,"Exeter; St Bryde, London;",,1510,28,Bennett
ATTEWOOD,Richard,,"Sheepwash; St Bride, London",,1459,18,Stokton
AT RODE,Alice,,Sampford Peverell,,1457,10,Stokton
AUSTELL,Thomas (Mr),cl(er)k,"Exeter Cathedral; Wells, Somerset;",,1515,8,Holder
,,,"St Probus, Cornwall",,,,
BAGGE,James,clerk,Asshprynton Wodeleigh,,1495,21,Vox
,,,Ashpringon,,,,
BAGGE,James,gent,Bruckland Buckland,,1557,F.10,Wrastley
BAGWELL,John,,Collaton (St Andrew),,1521,16,Maynwaryng
,,,Colyton,,,,
BAKER,Edward,,"Teverton, Devon;",,1504,20,Holgrave
,,,"Cheryngham, Norfolk",,,,
BAKER,John,theolog.doctor,Otterie St Mary,,1521,15,Maynwaryng
BALSTONE,Thomas,,"Hawkechurch, Dorset",,1553,F.10,Tashe
BAMPFELDE,Edward,,Poltemor Poltimore,,1528,F.35,Porch
BARNEHOUSE,John,esquyre,Marshe,,1548,25,Populwell
,,,?Marsh Green @ Rockbeare,,,,
BARNEHOUSE,Nicholas,,Devon; Bristol; Somerset,,1553,F.15,Tashe
BARTLETT,Henry,,Wolburgh Wolborough,,1526,11,Porch
BARTLETT see,,,,,,,
BERTLETT,,,,,,,
BASSETT,James,esquier,Torrington; London,,1558,F.19,Welles
BATH. Lord,,,,,,,
see BOURGHCHIER,,,,,,,
BEAMOUNT,Harrye,esquier,Gittisham,,1548,F.6,Populwell
BEAMOUNT,Thomas,esquier,Pilton,,1489,29,Milles
BECANSAWE,Robert,clerk,"Chagford, Devon; Stoke by Claire,",,1525,F.3,Porch
,,,"Suffolk; Croston, Lancs; Bradwell",,,,
,,,"juste mare, Essex",,,,
BEDNEY,John,,Tapsam Topsham,,1537,6,Crumwell
BEK,John,,Kyrton Crediton,,1412,25,Marche
BELDE,John,clerk,Parkeham,,1545,F.44,Pynnyng
BERE [Beer],Thomas,,Kyniswere Kingswear,,1518,16,Ayloffe
BEREMAN,William,,"St George, Exeter",,1549,30,Populwell
BERTLET,John,,Torremone Tor-Mohun,,1517,31,Holder
BERY,John,,Chitelhampton,,1514,31,Fetiplace
BERYE,Anthony,gent,Combmartin,,1555,F.40,More
BEWERY (?),John,,Grete Tottnes,,1516,F.24,Holder
BICKUMB,,,,,,,
