NAME,FORENAME,OCCPN/STATUS,PLACE,TYPE/NOTE,YEAR,FOLIO
ACLAND als VINCENT or ?VILLIERS,Dame Eleanor,,,Kilerton,,1674
,,,,will registered 128 Rivers [1644/45],,
,,,[Broadclist],,,
ACLAND,"Sir John,",bart,Colombe St John,,1671,p90
,,,"[Columbjohn, Broadclist]",,,
,,,,former grants 19 Feb 1650 & 25 June 1670,,
,,,,admon/will d.b.n. registered,,156 Essex (1648)
ACLAND,John,mcht,Cittie of Exeter,,1674,141
ADLAM,Richard,minister (clerk),Kingstington,,1671,101
,,,[Kingsteignton],,,
ALLEN,James,,Barnstaple,,1673,119
ANTHONY,Samuell,mcht,Bere Ferris,,1673,68
AVERY,John,,Pilton,,1672,69 & 74
,,,,Sentence,1673,137
AYSHFORD,Henry,,Ayshford,Admon,1674,p178
,,,,will registered 134 Laud,1662,
AYSHFORD,Roger,mcht,Plymouth,,1674,96
,,,,admon. d.b.n.,1680,Aug
BAKER,Nicholas,clothier,Thorncombe,,1671,16
BAKER,William,marriner,Exeter,,1673,3
,,,"d. in H.M.S. ""Good Adventure""",,,
BALL,John,,Molland,,1671,p 90
,,,,will registered Feb,1667,
BALLYMAN,Thomas,yeo,Uffculme,,1671,16
BASSETT,Arthur,esq,Heaton Punchardon,,1673,71
BAYLIE,William,clerk,Stokeflemming,,1673,42
,,,[Stoke Fleming],,,
BEARE,Henry,merchant,Tottnes,,1673,89
BEERE,Peter the elder,clothier,Tiverton,,1675,96
BIGILSTON,"Dorothy,",widowe,Cittie of Exeter,,1672,70
BLACHFORD als GOTLEY,William,mercer,Exminster,,1671,55
BLACKMORE,Thomas,alderman,Great Torrington,,1674,141
BOONE,"Nathaniel,",bacheler,Mount-Loone,,1673,41
,,,"[Mount Boon, Dartmouth]",,,
,,,"d. St Ethelbert, Lond.",,,
BRITTON,Robert,marriner,Branton,,1671,74
,,,d. at sea,,,
,,,[Braunton],,,
BROOKING,"Anne,",widdowe,Totnesse,,1672,43
,,,,grant expired - another probate,,
,,,,,1676/7,Feb
BROWNE,John,yeo,Upantery,,1671,16
,,,[Upottery],,,
BROWNE,Thomas,yeo,Tivertown,,1675,42
BRUEN,William,mcht,Citty of Exon,,1675,43
,,,[Exeter],,,
BRYANT,John,yeo,Tiverton,,1671,129
BURGE,Nicholas,yeo,Clehanger,,1674,70
,,,[Clayhanger],,,
BURSTON,John,yeo,Bampton,,1672,43
BURTON,Richard,mercer,"Dalwood, Dorset",,1673,15
BURY,Arthur,esq,Coleton,,1675,145
,,,[Colyton],Sentence,1676,76
BUTLER,John,mcht,Citty of Exeter,,1675,96
,,,,admon. d.b.n. Dec 1688,,
CABELL,John,,Rottery,,1673,43
CABELL,Richard,esq,Brooke,,1672,71
,,,,grant expired & another probate,,
,,,,,1677,Mar 09
,,,"[?Brooke house, Buckfastleigh]",,,
CAREW,"Sir Thomas,",baronett,Haccombe,,1674,6
CAVENDISH,"Lady Christian,",Countesse Dowager of Devon,,,1675,61
,see DEVONSHIRE,,,admon d.b.n. July,1708,
CHAMBERLAYNE,John snr.,yeoman,Baunton,,1672,13
,,,[Braunton],,,
CHANNELL,"George,","bach., marriner",Sidmouth,,1675,123
,,,"ship ""Portemarant"" at sea",,,
CLARKE,"Richard,",gent,Halberton,,1671,141
CLATWORTHY,William,yeo,Chittlelhampton,,1673,74
CLIFFE,"John,",gent,Martin,,1675,43
,,,d. in City of Lond.,,,
,,,[?Martinhoe],,,
CLIFFORD see DECLIFFORD,,,,,,
CLODE,"Mary,",widdow,Colyton,,1674,17
COLE,George,,Plymouth,,1674,45
,,,"d. in Citty of Rochester, Kent",,,
,,,,admon vacated. see Apr.,1674,p 60
COLE,Nicholas,,Plymouth,,1674,104
COLEMAN,Elizabeth,,"Gornhage, Tiverton",,1675,12
COURTENAY,Francis,Esq,City of Exeter,,1674,17
COUTEE,Peter the elder,chirurgeon Tavistocke,,,1674,123
COUTER,Thomasin,,Tavistock,,1674,113
CREBAR,"Thomas,","bach, marriner",Shetshaw,,1674,85
,,,"in H.M.S. ""Plymouth"" at sea",,,
CUDMORE,Andrew,,Rackenford,,1671,p 102
,,,,,1672,p101
,,,,"admon, former grant 13 Feb 1663/4",,
,,,,will registered Wootton 623 (1658),,
,,,,another probate 9 Aug 1672,,
,,,,admons 2 Oct 1658 &13 Feb 1663,,
,,,,31 Aug 1671 expired,,
DARE,Mary,,Upkins (Uplime),,1671,120
DAVEY,"Susanna,",wid.,Broadhembury,,1672,45
