cat_id	will_sentence	title	forename	surname	occupation	geog_info	parish_place	county_country	date	first_date	last_date	edoc_id	image_id	year
2530553	W		Agnes	Kervill or Kervytt		Islington, Norfolk	Islington	Norfolk	21 August 1451	14510821	14510821	1052954	ID=1052954	1451
2530553	W		Andrew	Bridham		London	London		12 December 1442	14421212	14421212	1052910	ID=1052910	1442
2530553	W		Andrew	Pykeman		London	London		27 December 1491	14911227	14911227	1052813	ID=1052813	1491
2530553	W		Austin	Hawkyns					10 April 1450	14500410	14500410	1052999	ID=1052999	1450
2530553	W		Cecilia	Foster					28 November 1448	14481128	14481128	1052872	ID=1052872	1448
2530553	W		Christian	Chepman		Tisbury, Wiltshire	Tisbury	Wiltshire	17 May 1454	14540517	14540517	1052832	ID=1052832	1454
2530553	W		Christian	Cust					08 April 1454	14540408	14540408	1052840	ID=1052840	1454
2530553	W		David	Syadine		Bristol, Gloucestershire	Bristol	Gloucestershire	10 March 1450	14500310	14500310	1052946	ID=1052946	1450
2530553	W		Edmund	Bybbesworth		Middlesex		Middlesex	06 July 1443	14430706	14430706	1052937	ID=1052937	1443
2530553	W		Edward	Wellys		Hadley, Middlesex	Hadley	Middlesex	17 May 1454	14540517	14540517	1052833	ID=1052833	1454
2530553	W		Ellen	Lacy	Widow	Saint Peter the Less, City of London	Saint Peter the Less	City of London	21 May 1450	14500521	14500521	1053003	ID=1053003	1450
2530553	W		Gerard	Heshull					18 September 1452	14520918	14520918	1052982	ID=1052982	1452
2530553	W		Guy	Shuldham		Saint Martin Vintry, City of London	Saint Martin Vintry	City of London	October 1449	14491001	14491031	1052988	ID=1052988	1449
2530553	W		Helmingus	Leget		Saint Mary Fenchurch, City of London	Saint Mary Fenchurch	City of London	14 August 1492	14920814	14920814	1052809	ID=1052809	1492
2530553	W		Henry	Porter					June 1449	14490601	14490630	1052899	ID=1052899	1449
2530553	W		Henry	Warlegh		Keynesham, Somerset	Keynesham	Somerset	06 February 1448	14480206	14480206	1052879	ID=1052879	1448
2530553	W		Henry	Wellis					17 July 1443	14430717	14430717	1052925	ID=1052925	1443
2530553	W		Hugh	Caundyssh					01 June 1454	14540601	14540601	1052835	ID=1052835	1454
2530553	W		Hugh	Geynesburgh	Rector				July 1450	14500701	14500731	1052853	ID=1052853	1450
2530553	W		Isabelle	Woodhill					14 May 1449	14490514	14490514	1052896	ID=1052896	1449
2530553	W		James	Woden					May 1449	14490501	14490531	1052894	ID=1052894	1449
2530553	W		Joan	Barker		Clare, Suffolk	Clare	Suffolk	16 September 1452	14520916	14520916	1052983	ID=1052983	1452
2530553	W		Joan	Eyr	Widow				06 February 1442	14420206	14420206	1052916	ID=1052916	1442
2530553	W		John	Aleyn					10 January 1448	14480110	14480110	1052878	ID=1052878	1448
2530553	W		John	Bakton	Gentleman				28 March 1448	14480328	14480328	1052889	ID=1052889	1448
2530553	W		John	Baynes					19 August 1450	14500819	14500819	1052856	ID=1052856	1450
2530553	W		John	Beverley					February 1449	14490201	14490228	1052996	ID=1052996	1449
2530553	W		John	Brampton					30 August 1451	14510830	14510830	1052958	ID=1052958	1451
2530553	W		John	Britte		Shaftesbury, Wiltshire	Shaftesbury	Wiltshire	04 May 1452	14520504	14520504	1052969	ID=1052969	1452
2530553	W		John	Browne					May 1449	14490501	14490531	1052893	ID=1052893	1449
2530553	W		John	Brugge					19 July 1443	14430719	14430719	1052939	ID=1052939	1443
2530553	W		John	Bryne					May 1454	14540501	14540531	1052828	ID=1052828	1454
2530553	W		John	Burbage					July 1450	14500701	14500731	1052868	ID=1052868	1450
2530553	W		John	Cokkes	Baker	Saint Nicholas Bristol, Gloucestershire	Saint Nicholas Bristol	Gloucestershire	03 July 1450	14500703	14500703	1052848	ID=1052848	1450
2530553	W		John	Copdale					26 May 1449	14490526	14490526	1052892	ID=1052892	1449
2530553	W		John	Courtenay					19 May 1450	14500519	14500519	1053001	ID=1053001	1450
2530553	W		John	Crysshefeld	Skinner	London	London		17 May 1454	14540517	14540517	1052844	ID=1052844	1454
2530553	W		John	Daweson					August 1451	14510801	14510831	1052956	ID=1052956	1451
2530553	W		John	de Brutt					15 May 1452	14520515	14520515	1052971	ID=1052971	1452
2530553	W		John	Dekene					26 February 1448	14480226	14480226	1052885	ID=1052885	1448
2530553	W		John	Felton					July 1454	14540701	14540731	1052836	ID=1052836	1454
2530553	W		John	Garland		Walden, Essex	Walden	Essex	28 April 1452	14520428	14520428	1052968	ID=1052968	1452
2530553	W		John	Gaynesford					09 October 1450	14501009	14501009	1052866	ID=1052866	1450
2530553	W		John	Godard					12 April 1454	14540412	14540412	1052829	ID=1052829	1454
2530553	W		John	Halls					20 July 1451	14510720	14510720	1052953	ID=1052953	1451
2530553	W		John	Helier					10 November 1442	14421110	14421110	1052904	ID=1052904	1442
2530553	W		John	Helyon					July 1450	14500701	14500731	1052850	ID=1052850	1450
2530553	W		John	Helyon or Helion					27 July 1450	14500727	14500727	1052863	ID=1052863	1450
2530553	W		John	Hicheman					July 1451	14510701	14510731	1052950	ID=1052950	1451
2530553	W		John	Horton	Rector	Trowbridge, Wiltshire	Trowbridge	Wiltshire	10 May 1443	14430510	14430510	1052933	ID=1052933	1443
2530553	W		John	Hotoft					10 May 1443	14430510	14430510	1052930	ID=1052930	1443
